ID,Время создания,Ваш пол,Сколько вам лет?,"Замечаете ли вы, что когда нервничаете, чаще моргаете?","Замечаете ли вы, что когда нервничаете, сжимаете/""кусаете"" губы?","Замечаете ли вы, что когда нервничаете, появляется учащённое дыхание?","Замечаете ли вы, что когда нервничаете, начинаете касаться лица руками (чаще)?","Замечаете ли вы, что когда нервничаете, часто переводите взгляд?","Замечаете ли вы, что когда нервничаете, краснеете?","Замечаете ли вы, что когда нервничаете, начинают слегка дрожать руки","Замечаете ли вы, что когда нервничаете, начинаете ""теребить"" одежду? ( галстук, бабочку, рубашку )",Какие ещё признаки стресса вы замечали? Будем премного благодарны вам за идеи. Заранее спасибо :3
1178621228,2022-07-10 03:54:12,Женский,19,Не обращал(-а) внимание,Нет,Да,Касаюсь руками лица реже,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Да,Нет,
1178280924,2022-07-09 03:17:39,Женский,46,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Нет,Да,Да,
1178230828,2022-07-08 22:00:55,Мужской,18,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Да,Да,Да,
1178286622,2022-07-09 04:36:20,Женский,44,Нет,Нет,Не обращал(-а) внимание,Да,Нет,Да,Нет,Да,
1178289542,2022-07-09 05:07:32,Женский,38,Не обращал(-а) внимание,Нет,Нет,Нет,Нет,Нет,Нет,Нет,"Плакать без пречины
Выйти в люди, чтобы отвлечься
Уйти от близких людей, которые пытаются довести до истерики"
1178289942,2022-07-09 05:11:30,Женский,38,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Нет,Да,Да,
1178236343,2022-07-08 22:17:16,Женский,18,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,Нет,Да,Нет,
1178182714,2022-07-08 19:40:22,Женский,22,Нет,Нет,Да,Касаюсь руками лица реже,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Нет,Нет,Никаких признаков нет .
1178134711,2022-07-08 17:25:39,Женский,36,Не обращал(-а) внимание,Да,Да,Да,Нет,Да,Не обращал(-а) внимание,Нет,"Напрягаю плечи, переминаюсь с ноги на ногу"
1178132905,2022-07-08 17:21:19,Мужской,24,Нет,Да,Нет,Да,Да,Нет,,Да,
1178132978,2022-07-08 17:21:29,Мужской,38,Не обращал(-а) внимание,Да,Да,Да,Да,Бледнею,Да,Да,
1178133789,2022-07-08 17:23:29,Мужской,16,Не обращал(-а) внимание,Да,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Да,Да,Да,
1178133856,2022-07-08 17:23:39,Мужской,26,Не обращал(-а) внимание,Да,Да,Нет,Да,Бледнею,Да,Нет,
1178133906,2022-07-08 17:23:47,Мужской,16,Моргаю реже,Да,Дышу реже,Нет,Да,Да,Да,Да,"Остановка дыхания, сжатость"
1178133918,2022-07-08 17:23:48,Женский,33,Да,Да,Дышу реже,Да,Не обращал(-а) внимание,Да,Да,Да,"меняется тембр голоса, говорю более высоким тоном"
1178135385,2022-07-08 17:27:12,Мужской,34,Не обращал(-а) внимание,Да,Нет,Да,Не обращал(-а) внимание,Нет,Нет,Нет,
1178135520,2022-07-08 17:27:34,Мужской,59,Не обращал(-а) внимание,Да,Да,Нет,Не обращал(-а) внимание,Да,Да,Нет,
1178135918,2022-07-08 17:28:29,Женский,27,Моргаю реже,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,Ковыряюсь в ногтях
1178136282,2022-07-08 17:29:22,Мужской,16,Нет,Нет,Не обращал(-а) внимание,Да,Да,Нет,Да,Нет,"Нервный тик, растерянность"
1178141509,2022-07-08 17:43:04,Мужской,16,Да,Да,Не обращал(-а) внимание,Да,Нет,Нет,Да,Нет,"Смотрю преимущественно вниз, а не вверх"
1178143901,2022-07-08 17:49:29,Мужской,15,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,Да,Да,Беспорядочное хождение по комнате
1178147048,2022-07-08 17:58:12,Женский,49,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,Нет,Да,Да,Не обращал(-а) внимание,"Сильнхо стусит сердце,, поднимакнтся давление, появляютс ссуетливве движения"
1178161771,2022-07-08 18:38:27,Мужской,26,Не обращал(-а) внимание,Нет,Да,Нет,Да,Да,Нет,Да,"Подгибаются колени, грызу ногти"
1178161775,2022-07-08 18:38:27,Мужской,18,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,,Да,Да,
1178161866,2022-07-08 18:38:42,Мужской,19,Не обращал(-а) внимание,Да,Да,Касаюсь руками лица реже,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Нет,Да,
1178162296,2022-07-08 18:39:52,Женский,23,Нет,Да,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Да,Да,Да,
1178162605,2022-07-08 18:40:44,Женский,,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,
1178162722,2022-07-08 18:41:02,Женский,23,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,"Переминаюсь с ноги на ногу (качаюсь), если стою"
1178162713,2022-07-08 18:41:02,Мужской,27,Да,Нет,Да,Не обращал(-а) внимание,Да,Нет,Да,Не обращал(-а) внимание,Движения с места на место.
1178162737,2022-07-08 18:41:05,Женский,21,Не обращал(-а) внимание,Да,Дышу реже,Не обращал(-а) внимание,Нет,Да,Да,Да,
1178162818,2022-07-08 18:41:18,Женский,20,Нет,Да,Нет,Нет,Нет,Бледнею,Да,Да,
1178163603,2022-07-08 18:43:13,Женский,21,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Да,Да,"Учащенное сердцебиение, голова кружится, хочется пить больше, сложно сидеть на одном месте, приступы зевоты бывают (постоянно хочется зевнуть или вздохнуть, но не получается)"
1178171983,2022-07-08 19:08:38,Женский,22,Нет,Да,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Да,Нет,Нет,"Громкость голоса может ""скакать"" (то тише, то громче)"
1178163670,2022-07-08 18:43:25,Мужской,18,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Да,Нет,
1178164197,2022-07-08 18:44:53,Женский,20,Да,Да,Нет,Нет,Перевожу взгляд реже ( смотрю в одну точку ),Да,Нет,Да,"Щелканье пальцами без причины, сжимание и разжимание кулаков (как бы поглаживание пальцами ладони той же руки, такое часто бывает, когда ладони потеют от волнения)"
1178164404,2022-07-08 18:45:31,Женский,21,Не обращал(-а) внимание,Да,Да,Да,Да,Не обращал(-а) внимание,Да,Да,Перебрасывание волос
1178164470,2022-07-08 18:45:41,Женский,19,Не обращал(-а) внимание,Да,Да,Да,Нет,Нет,Да,Да,
1178165089,2022-07-08 18:47:29,Мужской,16,Не обращал(-а) внимание,Нет,,Нет,Да,Да,Нет,Нет,
1178166816,2022-07-08 18:52:54,Мужской,21,Нет,Нет,Дышу реже,Нет,Нет,Нет,Нет,Нет,
1178167045,2022-07-08 18:53:38,Мужской,21,Не обращал(-а) внимание,Да,Да,Нет,Не обращал(-а) внимание,Нет,Нет,Да,Нервная улыбка появляется
1178167611,2022-07-08 18:55:19,Женский,22,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Да,Да,
1178167810,2022-07-08 18:55:55,Мужской,18,Нет,Не обращал(-а) внимание,Дышу реже,Да,Нет,Не обращал(-а) внимание,Нет,Нет,
1178172035,2022-07-08 19:08:47,Мужской,16,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,"Пот, сердцебиение"
1178168068,2022-07-08 18:56:38,Мужской,16,Не обращал(-а) внимание,Да,Нет,Не обращал(-а) внимание,Да,Нет,Нет,Да,Не обращал внимание
1178170962,2022-07-08 19:05:23,Мужской,16,Моргаю реже,Нет,Нет,Нет,Да,Нет,Нет,Нет,
1178171409,2022-07-08 19:06:46,Мужской,50,Не обращал(-а) внимание,Нет,Да,Да,Да,Не обращал(-а) внимание,Да,Нет,"Потливость
Сосание пальца - необходимость в помощи
Приоткрытый рот
Изменение тембра голоса, дрожание голоса
Учащение пульса
Повышение давления"
1178172968,2022-07-08 19:11:27,Мужской,25,Нет,Нет,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Бледнею,Не обращал(-а) внимание,Нет,Обильное потоотделение
1178175983,2022-07-08 19:20:10,Мужской,20,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Да,Нет,
1178176417,2022-07-08 19:21:22,Женский,20,Да,Да,Да,Нет,Не обращал(-а) внимание,Да,Да,Да,"Трогать украшения (кольца, подвески, сережки)"
1178176523,2022-07-08 19:21:40,Мужской,23,Да,Да,Да,Да,Да,Да,Да,Да,-
1178177281,2022-07-08 19:23:54,Мужской,50,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Сжимаются челюсти
1178177319,2022-07-08 19:24:02,Мужской,22,Не обращал(-а) внимание,Нет,Дышу реже,Нет,Не обращал(-а) внимание,Нет,Нет,Да,
1178190395,2022-07-08 20:02:21,Мужской,25,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,
1178178869,2022-07-08 19:28:39,Женский,21,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,
1178180928,2022-07-08 19:34:55,Женский,21,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Перевожу взгляд реже ( смотрю в одну точку ),Да,Да,Нет,
1178182174,2022-07-08 19:38:42,Женский,22,Нет,Да,Нет,Касаюсь руками лица реже,Да,Да,Да,Да,
1178182211,2022-07-08 19:38:50,Женский,20,Нет,Да,Да,Не обращал(-а) внимание,Да,Бледнею,Да,Да,"Сердцебиение 
Тремор тела"
1178182907,2022-07-08 19:40:54,Женский,22,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Бледнею,Да,Да,Покалывание в животе
1178183002,2022-07-08 19:41:11,Женский,23,Не обращал(-а) внимание,Да,Да,Касаюсь руками лица реже,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Нет,Да,
1178183051,2022-07-08 19:41:18,Женский,23,Не обращал(-а) внимание,Да,Да,Да,Да,Бледнею,Да,Нет,
1178183325,2022-07-08 19:42:04,Женский,23,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,"Изменение цвета лица, заикание, тахикардия, чувство давления в груди"
1178183483,2022-07-08 19:42:32,Женский,15,Нет,Нет,Да,Нет,Да,Нет,Да,Да,Постоянно проправлять волосы
1178183602,2022-07-08 19:42:52,Женский,,Не обращал(-а) внимание,Да,Да,Да,Да,Не обращал(-а) внимание,Да,Да,
1178183775,2022-07-08 19:43:21,Женский,20,Не обращал(-а) внимание,Да,Да,Да,Да,Да,Да,Да,"Кусание ногтей, трогаю мочку уха, глажу себя по груди"
1178184319,2022-07-08 19:45:01,Женский,22,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,
1178184355,2022-07-08 19:45:06,Женский,41,Не обращал(-а) внимание,Да,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Да,Да,Да,"Расширяются зрачки, потеют ладони."
1178186036,2022-07-08 19:49:57,Женский,22,Моргаю реже,Да,Не обращал(-а) внимание,Нет,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Нет,Нет,Начинаю тормозит
1178186661,2022-07-08 19:51:40,Мужской,14,Не обращал(-а) внимание,Да,Да,Да,Да,Да,Не обращал(-а) внимание,Нет,Потеют ладони
1178186708,2022-07-08 19:51:50,Женский,24,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,
1178187423,2022-07-08 19:53:50,Женский,29,Моргаю реже,Да,Дышу реже,Нет,Нет,Не обращал(-а) внимание,Да,Нет,
1178187550,2022-07-08 19:54:13,Женский,23,Нет,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Да,
1178187729,2022-07-08 19:54:40,Женский,50,Нет,Да,Да,Нет,Не обращал(-а) внимание,Да,Да,Да,
1178188294,2022-07-08 19:56:17,Женский,22,Нет,Да,Нет,Нет,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,"Появляется Тревожность 
Беспричинные страхи
Раздражительность"
1178189158,2022-07-08 19:58:46,Мужской,55,Не обращал(-а) внимание,Нет,Да,Нет,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Нет,Нет,
1178190137,2022-07-08 20:01:39,Женский,56,Нет,Нет,Не обращал(-а) внимание,Нет,Да,Нет,Да,Нет,
1178190149,2022-07-08 20:01:40,Женский,25,Да,Не обращал(-а) внимание,Да,Да,Да,Да,Да,Не обращал(-а) внимание,"Бросает в жар, кружится голова, крутит живот"
1178190179,2022-07-08 20:01:45,Женский,,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Часто ошибаюсь при наборе текста
1178190306,2022-07-08 20:02:07,Мужской,25,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,
1178191231,2022-07-08 20:04:53,Женский,21,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,
1178191698,2022-07-08 20:06:20,Женский,,Не обращал(-а) внимание,Да,Да,Да,Да,Да,Да,Не обращал(-а) внимание,"Сонливость 
Тревожность
Голод"
1178192050,2022-07-08 20:07:29,Женский,,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Касаюсь руками лица реже,Да,Нет,Да,Да,
1178193540,2022-07-08 20:12:06,Женский,23,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не замечала
1178194447,2022-07-08 20:15:03,Мужской,26,Нет,Нет,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Нет,Да,Нет,"Переживания, жар"
1178194667,2022-07-08 20:15:44,Мужской,46,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,
1178194862,2022-07-08 20:16:15,Женский,22,Да,Да,Дышу реже,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,
1178194971,2022-07-08 20:16:33,Женский,21,Не обращал(-а) внимание,Да,Да,Да,Да,Не обращал(-а) внимание,Да,Да,"Начинаю трястись и потеть, ощущение, будто ноги подкашиваются."
1178195738,2022-07-08 20:18:43,Мужской,33,Нет,Да,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Нет,
1178197813,2022-07-08 20:24:36,Мужской,14,Не обращал(-а) внимание,Да,Да,Касаюсь руками лица реже,Да,Не обращал(-а) внимание,Нет,Да,Начинаю хрустеть пальцами
1178199263,2022-07-08 20:28:56,Женский,46,Нет,Нет,Нет,Нет,Нет,Не обращал(-а) внимание,Да,Нет,
1178199977,2022-07-08 20:31:03,Мужской,15,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не замечал
1178200634,2022-07-08 20:33:04,Женский,24,Моргаю реже,Нет,Дышу реже,Да,Да,Бледнею,Да,Да,"Беспричинные страхи, ухудшение внимания, быстрая утомляемость, деперсонализация, дереализация, нарушение сна"
1178200747,2022-07-08 20:33:24,Женский,21,Да,Да,Да,Нет,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нет,
1178201061,2022-07-08 20:34:15,Женский,22,Моргаю реже,Да,Да,Касаюсь руками лица реже,Перевожу взгляд реже ( смотрю в одну точку ),Бледнею,Да,Да,Раздражительность
1178202045,2022-07-08 20:36:57,Женский,47,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Нет,Не обращал(-а) внимание,Да,Да,Нет,Рассеянность
1178202899,2022-07-08 20:39:24,Женский,,Не обращал(-а) внимание,Да,Нет,Не обращал(-а) внимание,Да,Нет,Да,Нет,Грызть ногти
1178203489,2022-07-08 20:41:09,Женский,50,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Пропадает аппетит
1178203612,2022-07-08 20:41:31,Мужской,25,Не обращал(-а) внимание,Нет,Да,Да,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,
1178205334,2022-07-08 20:46:55,Мужской,21,Не обращал(-а) внимание,Нет,Дышу реже,Нет,Да,Не обращал(-а) внимание,Да,Нет,
1178207279,2022-07-08 20:52:31,Женский,22,Нет,Да,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,
1178208526,2022-07-08 20:56:02,Женский,52,Не обращал(-а) внимание,Да,Дышу реже,Да,Не обращал(-а) внимание,Бледнею,Не обращал(-а) внимание,Нет,"Учащенный пульс, учащенное сердцебиение, невозможность усидеть на месте, невозможность сосредоточиться."
1178207729,2022-07-08 20:53:45,Женский,,Не обращал(-а) внимание,Да,Нет,Касаюсь руками лица реже,Да,Не обращал(-а) внимание,Нет,Нет,Начинаю есть.
1178207977,2022-07-08 20:54:28,Мужской,23,Да,Да,Да,Да,Да,Да,Да,Да,-
1178210706,2022-07-08 21:02:33,Женский,27,Нет,Да,Не обращал(-а) внимание,Да,Да,Нет,Да,Да,
1178209083,2022-07-08 20:57:45,Женский,23,Да,Да,Да,Не обращал(-а) внимание,Да,Да,Нет,Нет,
1178209281,2022-07-08 20:58:20,Женский,20,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Нет,Да,Нет,Да,"Появляется злость, часто хочется просто заплакать"
1178209704,2022-07-08 20:59:35,Мужской,20,Не обращал(-а) внимание,Да,Нет,Нет,Нет,Не обращал(-а) внимание,Да,Да,
1178210989,2022-07-08 21:03:21,Мужской,20,Нет,Нет,Нет,Нет,Нет,Не обращал(-а) внимание,Нет,Нет,
1178212019,2022-07-08 21:06:14,Мужской,25,Нет,Нет,Да,Нет,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нет,
1178212585,2022-07-08 21:07:57,Мужской,,Да,Нет,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нет,Да,Да,
1178212975,2022-07-08 21:09:00,Женский,21,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Да,Нет,Да,"Голос становится выше
Ладошки потеют"
1178213871,2022-07-08 21:11:36,Мужской,67,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Да,Нет,
1178215327,2022-07-08 21:15:56,Женский,21,Нет,Нет,Нет,Нет,Не обращал(-а) внимание,Нет,Нет,Нет,Не замечала ничего особенного 👀
1178216070,2022-07-08 21:18:04,Женский,32,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Да,Да,Да,
1178216818,2022-07-08 21:20:14,Женский,44,Моргаю реже,Нет,Да,Нет,Нет,Нет,Да,Нет,"Апатия,депрессия,тревога"
1178217296,2022-07-08 21:21:40,Мужской,19,Моргаю реже,Нет,Нет,Нет,Да,Нет,Нет,Не обращал(-а) внимание,
1178219847,2022-07-08 21:29:11,Женский,39,Да,Да,Нет,Нет,Да,Нет,Нет,Нет,
1178222042,2022-07-08 21:35:34,Женский,25,Не обращал(-а) внимание,Нет,Дышу реже,Касаюсь руками лица реже,Да,Бледнею,Не обращал(-а) внимание,Да,
1178222274,2022-07-08 21:36:12,Мужской,22,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Запинания в речи
1178225158,2022-07-08 21:44:30,Мужской,18,Не обращал(-а) внимание,Нет,Да,Да,Не обращал(-а) внимание,Нет,Нет,Нет,
1178225477,2022-07-08 21:45:27,Женский,20,Нет,Нет,Нет,Не обращал(-а) внимание,Нет,Нет,Не обращал(-а) внимание,Нет,
1178226228,2022-07-08 21:47:41,Мужской,20,Нет,Нет,Нет,Да,Да,Не обращал(-а) внимание,Нет,Нет,Живот болит начинает немного.
1178226517,2022-07-08 21:48:35,Женский,30,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,"Запинаюсь, теряюсь в словах, не могу четко сформулировать свою мысль)"
1178227394,2022-07-08 21:51:14,Мужской,42,Не обращал(-а) внимание,Не обращал(-а) внимание,Дышу реже,Касаюсь руками лица реже,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,
1178227954,2022-07-08 21:52:45,Женский,20,Не обращал(-а) внимание,Да,Да,Да,Да,Не обращал(-а) внимание,Да,Да,перебирание пальцев (ногтей)
