ID,–í—Ä–µ–º—è —Å–æ–∑–¥–∞–Ω–∏—è,–í–∞—à –ø–æ–ª,–°–∫–æ–ª—å–∫–æ –≤–∞–º –ª–µ—Ç?,"–ó–∞–º–µ—á–∞–µ—Ç–µ –ª–∏ –≤—ã, —á—Ç–æ –∫–æ–≥–¥–∞ –Ω–µ—Ä–≤–Ω–∏—á–∞–µ—Ç–µ, —á–∞—â–µ –º–æ—Ä–≥–∞–µ—Ç–µ?","–ó–∞–º–µ—á–∞–µ—Ç–µ –ª–∏ –≤—ã, —á—Ç–æ –∫–æ–≥–¥–∞ –Ω–µ—Ä–≤–Ω–∏—á–∞–µ—Ç–µ, —Å–∂–∏–º–∞–µ—Ç–µ/""–∫—É—Å–∞–µ—Ç–µ"" –≥—É–±—ã?","–ó–∞–º–µ—á–∞–µ—Ç–µ –ª–∏ –≤—ã, —á—Ç–æ –∫–æ–≥–¥–∞ –Ω–µ—Ä–≤–Ω–∏—á–∞–µ—Ç–µ, –ø–æ—è–≤–ª—è–µ—Ç—Å—è —É—á–∞—â—ë–Ω–Ω–æ–µ –¥—ã—Ö–∞–Ω–∏–µ?","–ó–∞–º–µ—á–∞–µ—Ç–µ –ª–∏ –≤—ã, —á—Ç–æ –∫–æ–≥–¥–∞ –Ω–µ—Ä–≤–Ω–∏—á–∞–µ—Ç–µ, –Ω–∞—á–∏–Ω–∞–µ—Ç–µ –∫–∞—Å–∞—Ç—å—Å—è –ª–∏—Ü–∞ —Ä—É–∫–∞–º–∏ (—á–∞—â–µ)?","–ó–∞–º–µ—á–∞–µ—Ç–µ –ª–∏ –≤—ã, —á—Ç–æ –∫–æ–≥–¥–∞ –Ω–µ—Ä–≤–Ω–∏—á–∞–µ—Ç–µ, —á–∞—Å—Ç–æ –ø–µ—Ä–µ–≤–æ–¥–∏—Ç–µ –≤–∑–≥–ª—è–¥?","–ó–∞–º–µ—á–∞–µ—Ç–µ –ª–∏ –≤—ã, —á—Ç–æ –∫–æ–≥–¥–∞ –Ω–µ—Ä–≤–Ω–∏—á–∞–µ—Ç–µ, –∫—Ä–∞—Å–Ω–µ–µ—Ç–µ?","–ó–∞–º–µ—á–∞–µ—Ç–µ –ª–∏ –≤—ã, —á—Ç–æ –∫–æ–≥–¥–∞ –Ω–µ—Ä–≤–Ω–∏—á–∞–µ—Ç–µ, –Ω–∞—á–∏–Ω–∞—é—Ç —Å–ª–µ–≥–∫–∞ –¥—Ä–æ–∂–∞—Ç—å —Ä—É–∫–∏","–ó–∞–º–µ—á–∞–µ—Ç–µ –ª–∏ –≤—ã, —á—Ç–æ –∫–æ–≥–¥–∞ –Ω–µ—Ä–≤–Ω–∏—á–∞–µ—Ç–µ, –Ω–∞—á–∏–Ω–∞–µ—Ç–µ ""—Ç–µ—Ä–µ–±–∏—Ç—å"" –æ–¥–µ–∂–¥—É? ( –≥–∞–ª—Å—Ç—É–∫, –±–∞–±–æ—á–∫—É, —Ä—É–±–∞—à–∫—É )",–ö–∞–∫–∏–µ –µ—â—ë –ø—Ä–∏–∑–Ω–∞–∫–∏ —Å—Ç—Ä–µ—Å—Å–∞ –≤—ã –∑–∞–º–µ—á–∞–ª–∏? –ë—É–¥–µ–º –ø—Ä–µ–º–Ω–æ–≥–æ –±–ª–∞–≥–æ–¥–∞—Ä–Ω—ã –≤–∞–º –∑–∞ –∏–¥–µ–∏. –ó–∞—Ä–∞–Ω–µ–µ —Å–ø–∞—Å–∏–±–æ :3
1178228354,2022-07-08 21:53:54,Мужской,19,Нет,Не обращал(-а) внимание,Нет,Нет,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,
1178228582,2022-07-08 21:54:35,Женский,16,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Да,Перевожу взгляд реже ( смотрю в одну точку ),Да,Да,Да,
1178229287,2022-07-08 21:56:37,Мужской,19,Моргаю реже,Нет,Дышу реже,Не обращал(-а) внимание,Нет,Да,Да,Да,небольшой голод
1178229390,2022-07-08 21:56:53,Женский,56,Нет,Нет,Не обращал(-а) внимание,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Нет,Нет,Отсутствие аппетита
1178229581,2022-07-08 21:57:30,Мужской,38,Нет,Нет,Нет,Не обращал(-а) внимание,Нет,Нет,Нет,Нет,Хожу
1178229764,2022-07-08 21:57:57,Мужской,19,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,
1178229758,2022-07-08 21:57:56,Женский,39,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,"Ощущаю тревогу, ускоряется время, чаще трогаю лицо и голову, вздыхаю"
1178230107,2022-07-08 21:58:53,Мужской,25,Нет,Да,Нет,Нет,Нет,Да,Да,Нет,
1178232637,2022-07-08 22:06:07,Мужской,19,Моргаю реже,Нет,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Нет,Нет,
1178232681,2022-07-08 22:06:15,Мужской,23,Да,Да,Да,Да,Да,Да,Да,Да,"1) Рассеянное внимание, т.е. сложно сконцентрироваться на чем-то одном, мысли путаются.
2) Поверхностное дыхание, из-за чего кажется, что не хватает воздуха.
3) Увеличивается количество слов ""паразитов"" в речи."
1178232930,2022-07-08 22:07:00,Женский,18,Не обращал(-а) внимание,Да,Да,Нет,Да,Да,Да,Нет,
1178233040,2022-07-08 22:07:18,Мужской,18,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,
1178233212,2022-07-08 22:07:48,Женский,30,Нет,Да,Да,Нет,Да,Да,Да,Да,
1178233207,2022-07-08 22:07:47,Женский,18,Нет,Да,Да,Касаюсь руками лица реже,Да,Нет,Да,Да,"Находясь в стрессе я также не могу сосредоточить внимание на чем либо кроме причины своего состояния
Благодарю за опрос :з"
1178233407,2022-07-08 22:08:23,Женский,24,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,
1178235621,2022-07-08 22:14:56,Женский,28,Нет,Да,Да,Не обращал(-а) внимание,Да,Да,Нет,Не обращал(-а) внимание,"Постоянное внутреннее напряжение, страх, тревога. Оочень много ем, что-то жую постоянно, налегаю на сладкое. Не сплю по ночам, откладываю отход ко сну.
Не могу успокоиться, если и делаю что-то, то торопясь, суетливо."
1178236640,2022-07-08 22:18:09,Женский,58,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Бледнею,Да,Нет,"Речь становится менее внятной, начинаю подбирать слова"
1178237163,2022-07-08 22:19:47,Женский,22,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Бледнею,Нет,Нет,
1178237391,2022-07-08 22:20:33,Женский,23,Не обращал(-а) внимание,Да,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Озноб
1178237607,2022-07-08 22:21:12,Мужской,32,Нет,Не обращал(-а) внимание,Нет,Касаюсь руками лица реже,Нет,Нет,Не обращал(-а) внимание,Нет,
1178239371,2022-07-08 22:26:49,Женский,47,Нет,Да,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,Да,Нет,"Грызу ногти,дёргаю ногой"
1178240207,2022-07-08 22:29:38,Мужской,23,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Да,Да,Да,
1178240845,2022-07-08 22:31:33,Женский,50,Нет,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Нет,Нет,
1178241380,2022-07-08 22:33:19,Женский,51,Нет,Нет,Да,Нет,Не обращал(-а) внимание,Да,Да,Нет,
1178241537,2022-07-08 22:33:50,Женский,38,Нет,Нет,Да,Да,Да,Нет,Да,Нет,
1178242199,2022-07-08 22:35:44,Женский,21,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Бледнею,Да,Не обращал(-а) внимание,
1178242216,2022-07-08 22:35:46,Женский,,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Да,Нет,
1178242375,2022-07-08 22:36:18,Женский,20,Нет,Нет,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Бледнею,Да,Да,"Трясется всё тело, резкое желание убраться и привести всё вокруг в идеальный вид."
1178242629,2022-07-08 22:37:08,Женский,49,Не обращал(-а) внимание,Нет,Да,Да,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,
1178243087,2022-07-08 22:38:42,Женский,27,Не обращал(-а) внимание,Да,Да,Да,Не обращал(-а) внимание,Нет,Да,Да,"Дрожь по всему телу, озноб, желание убраться вокруг"
1178243201,2022-07-08 22:39:05,Женский,28,Не обращал(-а) внимание,Да,Да,Да,Нет,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,
1178245745,2022-07-08 22:47:55,Женский,35,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Нет,
1178247646,2022-07-08 22:54:25,Женский,,Не обращал(-а) внимание,Да,Да,Нет,Не обращал(-а) внимание,Да,,Да,
1178248163,2022-07-08 22:56:25,Женский,20,Не обращал(-а) внимание,Да,Да,Да,Да,Бледнею,Да,Да,"Занимаюсь мелким вредительством своего тела. Выдирать волоски, ковырять болячку и т.д."
1178248695,2022-07-08 22:58:24,Женский,,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,
1178249012,2022-07-08 22:59:32,Мужской,22,Нет,Да,Да,Да,Да,Нет,Нет,Не обращал(-а) внимание,
1178250181,2022-07-08 23:03:41,Женский,19,Не обращал(-а) внимание,Нет,Да,Нет,Не обращал(-а) внимание,Нет,Да,Да,дрожащий голос
1178251322,2022-07-08 23:08:10,Женский,21,Не обращал(-а) внимание,Да,Да,Нет,Не обращал(-а) внимание,Да,Да,Нет,
1178252204,2022-07-08 23:11:40,Женский,19,Нет,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Нет,Да,
1178252291,2022-07-08 23:12:03,Мужской,23,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Да,Да,Нет,Да,Нет,Перехватывает дыхание
1178255064,2022-07-08 23:23:16,Женский,32,Не обращал(-а) внимание,Нет,Да,Да,Не обращал(-а) внимание,Нет,Да,Нет,
1178256382,2022-07-08 23:28:47,Женский,20,Не обращал(-а) внимание,Да,Нет,Да,Не обращал(-а) внимание,Нет,Да,Нет,Красные глаза после 2часового сна и огромное количество кружек кофе рядом
1178257010,2022-07-08 23:31:17,Женский,,Нет,Нет,Не обращал(-а) внимание,Нет,Да,Нет,Да,Нет,
1178257754,2022-07-08 23:34:39,Женский,35,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,Нет,Нет,Нет,
1178257295,2022-07-08 23:32:38,Женский,21,Нет,Нет,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нет,Да,Нет,Учащенное сердцебиение
1178258146,2022-07-08 23:36:28,Женский,18,Не обращал(-а) внимание,Да,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Да,Да,
1178259068,2022-07-08 23:40:42,Мужской,,Моргаю реже,Да,Нет,Да,Перевожу взгляд реже ( смотрю в одну точку ),Нет,Нет,Нет,
1178260071,2022-07-08 23:45:42,Женский,25,Нет,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,"Повышенная температура тела, навязчивые мысли, склонность видеть и рассуждать в негативном ключе, желание «забиться в угол» от посторонних, отсутствие какой либо мотивации к чему-либо, отсутствие аппетита или наоборот «заедание» негативных эмоций, повышенная утомляемость, резкость и частая раздражённость, усиленное потоотделение, слабость в мышцах, внезапно возникающая тревожность и непонимание по какой причине и т.д."
1178260113,2022-07-08 23:45:58,Мужской,30,Нет,Да,Да,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Нет,Нет,
1178262540,2022-07-08 23:59:08,Женский,40,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,
1178263626,2022-07-09 00:06:19,Женский,26,Нет,Нет,Да,Нет,Перевожу взгляд реже ( смотрю в одну точку ),Бледнею,Да,Нет,
1178265079,2022-07-09 00:15:32,Женский,20,Не обращал(-а) внимание,Да,Нет,Нет,Да,Да,Нет,Да,
1178268491,2022-07-09 00:40:36,Мужской,21,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Нет,Не обращал(-а) внимание,Да,Нет,Да,
1178266839,2022-07-09 00:27:56,Мужской,32,Моргаю реже,Нет,Нет,Нет,Нет,Да,Нет,Нет,Больше нет признаков.
1178268056,2022-07-09 00:37:09,Мужской,23,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Нет,Да,Да,Да,Да,
1178274234,2022-07-09 01:40:41,Женский,48,Нет,Да,Нет,Да,Нет,Нет,Да,Да,"Что-то теребить в руках
Трогать волосы
Беспокойно ходить
Переставлять вещи
Курить
...
1. Не понятно, с какой целью проводится анкетирование - то ли тестирование респондентов, то ли сбор статистических данных, то ли набор возможных реакций.
2. При ответе на вопрос ""замечали ли вы, что..."" ответы ""нет"" и ""не обращал внимание"" воспринимаются как аналогичные"
1178275141,2022-07-09 01:52:29,Женский,39,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Не обращал(-а) внимание,Нет,Нет,
1178276334,2022-07-09 02:09:06,Мужской,18,Не обращал(-а) внимание,Да,Нет,Нет,Да,Нет,Нет,Не обращал(-а) внимание,
1178277161,2022-07-09 02:19:41,Мужской,18,Да,Нет,Да,Да,Нет,Нет,Да,Нет,
1178304630,2022-07-09 06:55:51,Мужской,20,Моргаю реже,Не обращал(-а) внимание,Дышу реже,Нет,Да,Да,Да,Не обращал(-а) внимание,
1178309576,2022-07-09 07:21:28,Женский,56,Нет,Нет,Да,Нет,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,
1178311621,2022-07-09 07:31:34,Женский,25,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,
1178313969,2022-07-09 07:43:06,Женский,48,Да,Да,Да,Да,Да,Да,Да,Да,
1178315412,2022-07-09 07:49:57,Женский,37,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Да,Нет,Не обращал(-а) внимание,Нет,
1178321993,2022-07-09 08:19:32,Женский,54,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Да,Не обращал(-а) внимание,
1178325184,2022-07-09 08:33:04,Женский,38,Нет,Нет,Да,Нет,Нет,Не обращал(-а) внимание,Нет,Нет,
1178326125,2022-07-09 08:36:53,Женский,36,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,Да,Да,Нет,Нет,
1178327217,2022-07-09 08:41:16,Женский,49,Не обращал(-а) внимание,Нет,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Бледнею,Нет,Нет,
1178329440,2022-07-09 08:50:18,Женский,56,Да,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,"Во время стресса трудно вспомнить, даже заученный наизусть текст.."
1178331467,2022-07-09 08:59:05,Мужской,18,Нет,Да,Да,Нет,Да,Бледнею,Не обращал(-а) внимание,Да,
1178331536,2022-07-09 08:59:24,Мужской,19,Нет,Нет,Нет,Да,Да,Не обращал(-а) внимание,Да,Нет,"Меньше концентрации, выше вероятность ошибки"
1178334569,2022-07-09 09:11:17,Женский,23,Не обращал(-а) внимание,Нет,Дышу реже,Нет,Нет,Не обращал(-а) внимание,Нет,Нет,
1178336811,2022-07-09 09:20:20,Мужской,18,Нет,Нет,Не обращал(-а) внимание,Касаюсь руками лица реже,Нет,Нет,Нет,Нет,Трясти ногами
1178338660,2022-07-09 09:27:26,Женский,23,Нет,Нет,Да,Не обращал(-а) внимание,Да,Нет,Да,Да,Кто то ходит по кругу или просто чаще передвигается
1178339682,2022-07-09 09:31:15,Женский,21,Не обращал(-а) внимание,Да,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,
1178343020,2022-07-09 09:44:37,Мужской,21,Да,Да,Не обращал(-а) внимание,Да,Да,Да,Да,Да,"Начинаю гладить предплечья.
Прохрустываю пальцы."
1178343266,2022-07-09 09:45:31,Женский,22,Не обращал(-а) внимание,Да,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Да,Да,Постоянно трогаю губы
1178344490,2022-07-09 09:50:39,Мужской,19,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Бледнею,Да,Не обращал(-а) внимание,
1178344692,2022-07-09 09:51:25,Мужской,16,Нет,Да,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,
1178345037,2022-07-09 09:52:47,Женский,45,Не обращал(-а) внимание,Нет,Да,Нет,Нет,Да,Да,Нет,
1178345826,2022-07-09 09:55:59,Мужской,17,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Не обращал(-а) внимание,Да,Да,
1178347210,2022-07-09 10:01:27,Женский,44,Нет,Да,Нет,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Нет,Нет,
1178350227,2022-07-09 10:13:06,Мужской,16,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Нет,Да,"Хруст пальцами, дрожь в ногах"
1178351268,2022-07-09 10:17:00,Женский,38,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Нет,
1178355256,2022-07-09 10:33:28,Женский,43,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Да,Да,Нет,Начинаю заедать
1178357741,2022-07-09 10:43:12,Мужской,28,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Да,Да,Да,Да,Да,
1178359996,2022-07-09 10:51:34,Мужской,20,Не обращал(-а) внимание,Да,Да,Да,Не обращал(-а) внимание,Нет,Да,Да,
1178360030,2022-07-09 10:51:42,Женский,41,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,"Про стискивание зубов может, напряжение мышц, ходьба туда сюда по квартире, например."
1178360767,2022-07-09 10:54:46,Женский,,Нет,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Нет,Нет,Да,Нет,
1178362603,2022-07-09 11:01:25,Женский,55,Нет,Да,Нет,Да,Да,Да,Нет,Да,"Психоэмоциональная напряжённость , апатия, подавленность, хроническая усталость, пессимизм, желание уединиться."
1178365152,2022-07-09 11:11:10,Женский,22,Не обращал(-а) внимание,Да,Да,Да,Да,Бледнею,Да,Нет,
1178367585,2022-07-09 11:19:55,Мужской,21,Не обращал(-а) внимание,Нет,Нет,Да,Да,Нет,Нет,Нет,Щелкаю пальцами))
1178367760,2022-07-09 11:20:37,Мужской,,Нет,Нет,Нет,Нет,Да,Не обращал(-а) внимание,Нет,Да,"Когда нервничаю, смотрю в телефон, хотя на тот момент он бывает не нужен"
1178371514,2022-07-09 11:34:54,Женский,21,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нет,Да,Да,Не обращал(-а) внимание,Да,Сопровождается агрессией
1178374051,2022-07-09 11:44:22,Мужской,30,Нет,Нет,Да,Да,Не обращал(-а) внимание,Да,Да,Не обращал(-а) внимание,
1178385552,2022-07-09 12:23:14,Мужской,16,Не обращал(-а) внимание,Да,Нет,Нет,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Да,Да,
1178395133,2022-07-09 12:54:03,Мужской,17,Не обращал(-а) внимание,Да,Да,Нет,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нога дергается :3
1178401242,2022-07-09 13:13:52,Мужской,18,Нет,Да,Да,Да,Да,Нет,Да,Да,
1178402171,2022-07-09 13:16:04,Мужской,19,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Нет,Нет,
1178407310,2022-07-09 13:29:02,Женский,63,Нет,Нет,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Нет,Нет,Нет,"В подобных случаях стараюсь не обрвщать внимание на негатив, переключаю свое анимание на другое"
1178404906,2022-07-09 13:22:39,Мужской,22,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Нет,Да,
1178407798,2022-07-09 13:30:24,Женский,42,Нет,Нет,Да,Не обращал(-а) внимание,Да,Да,Да,Нет,
1178420641,2022-07-09 14:08:16,Женский,45,Нет,Да,Дышу реже,Нет,Нет,Да,Да,Не обращал(-а) внимание,Сводит горло когда нервничаю как будто ком
1178421308,2022-07-09 14:10:19,Мужской,48,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,
1178421637,2022-07-09 14:11:18,Женский,26,Не обращал(-а) внимание,Да,Да,Нет,Да,Да,Да,Да,
1178422517,2022-07-09 14:14:13,Мужской,32,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Нет,Нет,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,
1178424124,2022-07-09 14:18:43,Женский,21,Да,Да,Да,Да,Не обращал(-а) внимание,Бледнею,Да,Да,
1178424414,2022-07-09 14:19:33,Женский,38,Не обращал(-а) внимание,Нет,Дышу реже,Нет,Не обращал(-а) внимание,Нет,Нет,Нет,Не мону усидеть на месте
1178426643,2022-07-09 14:25:36,Женский,41,Моргаю реже,Да,Да,Нет,Да,Да,Да,Нет,"Качание ногой, стучать пальцами по столу или ручкой)"
1178429055,2022-07-09 14:32:18,Мужской,35,Не обращал(-а) внимание,Нет,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Нет,
1178451128,2022-07-09 15:35:06,Женский,43,Нет,Да,Нет,Нет,Перевожу взгляд реже ( смотрю в одну точку ),Не обращал(-а) внимание,Да,Нет,
1178473161,2022-07-09 16:37:15,Женский,31,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Нет,Да,Да,
1178485169,2022-07-09 17:13:55,Женский,67,Нет,Нет,Да,Да,Нет,Нет,Да,Да,Бываю внешне очень спокойная и замедляюсь
1178503627,2022-07-09 18:13:32,Женский,35,Да,Не обращал(-а) внимание,Да,Да,Да,Да,Не обращал(-а) внимание,Не обращал(-а) внимание,
1178512901,2022-07-09 18:44:24,Мужской,25,Не обращал(-а) внимание,Да,Да,Да,Да,Бледнею,Да,Да,Слезливость глаз
1178524371,2022-07-09 19:24:20,Женский,38,Не обращал(-а) внимание,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,Да,Да,Да,Не обращал(-а) внимание,
1178526170,2022-07-09 19:30:23,Мужской,21,Не обращал(-а) внимание,Нет,Да,Да,Да,Не обращал(-а) внимание,Да,Не обращал(-а) внимание,"потеешь; ощущаешь физически, что нервничаешь"
1178530559,2022-07-09 19:45:17,Женский,23,Не обращал(-а) внимание,Да,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Бледнею,Да,Да,
1178537407,2022-07-09 20:07:44,,,,,,,,,,,
1178549636,2022-07-09 20:46:34,Женский,22,Нет,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,
1178565397,2022-07-09 21:37:40,Женский,54,Нет,Нет,Да,Нет,Нет,Не обращал(-а) внимание,Нет,Нет,"Хочется лечь полежать или, вообще, поспать)))"
1178596667,2022-07-09 23:33:56,Женский,,Не обращал(-а) внимание,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Нет,Не обращал(-а) внимание,Не обращал(-а) внимание,Не обращал(-а) внимание,
1178710115,2022-07-10 11:23:53,Женский,24,Не обращал(-а) внимание,Да,Да,Да,Перевожу взгляд реже ( смотрю в одну точку ),Да,Да,Да,
1178710757,2022-07-10 11:26:11,Женский,39,Не обращал(-а) внимание,Да,Да,Нет,Нет,Да,Да,Нет,
